passenger_id,household_income,college_saving,retirement_contribution_strategy,assets_retirement_pct_invested,assets_retirement,client_employment_status,housing_situation,saving_emergency_fund_months,assets_liquid,housing_transaction_timing,mortgage_type,life_insurance,mortgage_term,mortgage_rate,estate_plan,rent_monthly,client_age,sentiment_finances,divorce,education,employer_sponsored,has_children,has_dependent_relatives,has_partner,healthcare,lower_monthly_payment,managing_credit_score,moving,new_child
90835,164650.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I max out my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Own my home with a mortgage,2-3 months,"$20,000-$50,000",,,"Yes, my own",,,No,,34.71,98.1,0,0,1,1,0,1,0,,,0,0
12326,,"Yes, in an Education Savings Account (ESA such as a 529 plan)",,,,Employed (full or part time),Own my home with a mortgage,,,,Fixed rate mortgage,"Yes, my own",30-year fixed rate,Under 3.5%,Yes,,66.6,126.0,0,0,,1,0,1,,0,,,0
193980,,"Yes, in an Education Savings Account (ESA such as a 529 plan)",,,,Own a business,,,,,,"Yes, my own",,,No,,54.5,103.5,,1,,1,0,1,,,,,
196286,172500.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I save enough to get my employer match,,"$20,000-$50,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"More than $100,000",,,"Yes, my own",,,No,,32.76,66.0,0,1,0,1,0,1,0,,,0,0
42980,,"Yes, in an Education Savings Account (ESA such as a 529 plan)",,,,Employed (full or part time),Rent,,,,,No / Not sure,,,Not sure,,29.75,92.7,0,0,,1,0,0,,,,0,0
2571,250800.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I max out and save some extra outside my Employer Plan / IRA,,"$250,000-$500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$50,000-$100,000",,,"Yes, my own",,,Yes,,31.85,81.0,0,0,1,1,0,1,0,,,0,1
47829,45045.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I max out my Employer Plan / IRA,,"$20,000-$50,000",Employed (full or part time),Own my home with a mortgage,I don't have any savings,I don't have any savings,,,"Yes, my own",,,No,,46.08,35.4,0,0,1,1,0,0,0,,,0,0
201306,10100.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",Not currently contributing,,"$20,000-$50,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"More than $100,000",,Fixed rate mortgage,No / Not sure,5/1 ARM,4.5% - 4.99%,No,,30.8,126.0,1,0,0,1,0,0,1,0,,,0
175373,,"Yes, in an Education Savings Account (ESA such as a 529 plan)",,,,Employed (full or part time),Own my home with a mortgage,,,,,"Yes, my own",,,No,,29.76,66.6,0,1,,1,0,1,,,,0,1
77385,138000.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",Not currently contributing,,I haven't saved for retirement,Employed (full or part time),Own my home with a mortgage,4-6 months,I don't have any savings,,,"Yes, my own",,,No,,36.45,55.8,0,1,0,1,0,1,0,,,0,0
63402,58000.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)","I save a bit, as I can",,"$10,000-$20,000",Employed (full or part time),Own my home with a mortgage,1 month or less,"Less than $5,000",,Adjustable rate mortgage,"Yes, through my work",7/1 ARM,4.0% - 4.49%,No,,36.75,74.7,0,0,1,1,0,1,0,0,,,1
122968,,"Yes, in an Education Savings Account (ESA such as a 529 plan)",,,,Employed (full or part time),Own my home with a mortgage,,,,,"Yes, through my work",,,Yes,,50.16,102.6,0,1,,1,0,1,,,,1,0
66923,68250.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",Not currently contributing,,"Less than $10,000",Employed (full or part time),Rent,2-3 months,"Less than $5,000",,,No / Not sure,,,No,,38.11,58.2,0,1,0,1,1,1,,,,0,0
59839,,"Yes, in an Education Savings Account (ESA such as a 529 plan)",,,,Not working / Other,Rent,,,,,No / Not sure,,,No,,32.98,31.8,0,1,,1,0,1,,,,1,0
186687,77.76,"Yes, in an Education Savings Account (ESA such as a 529 plan)",,,,Not working / Other,Own my home with a mortgage,,,,,"Yes, through my work",,,Yes,,59.76,70.2,0,0,,1,1,1,,,,0,1
133610,164500.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I max out my Employer Plan / IRA,,"$100,000-$250,000",Employed (full or part time),Own my home with a mortgage,4-6 months,"$10,000-$20,000",,,"Yes, through my work",,,No,,36.8,81.9,0,0,1,1,0,1,0,,,0,0
123582,480000.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"More than $100,000",,,"Yes, through my work",,,No,,49.28,81.9,0,1,1,1,0,1,0,,,1,0
32430,66950.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",Not currently contributing,,"$10,000-$20,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$20,000-$50,000",,,No / Not sure,,,No,,35.49,104.4,0,0,1,1,0,0,0,,,0,0
62774,148500.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I max out my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"More than $100,000",,,"Yes, my own",,,No,,45.6,61.2,1,1,1,1,0,0,0,0,,,0
182233,241800.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Own my home outright,More than 6 months,"More than $100,000",,,"Yes, through my work",,,No,,35.2,109.2,0,1,1,1,0,1,0,,,1,0
4863,249000.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I max out my Employer Plan / IRA,,"$250,000-$500,000",Employed (full or part time),Own my home with a mortgage,2-3 months,"Less than $5,000",,,"Yes, through my work",,,No,,57.82,55.2,0,0,0,1,0,0,0,,,1,0
204248,83200.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I max out my Employer Plan / IRA,,"$250,000-$500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$20,000-$50,000",,,"Yes, my own",,,Yes,,45.5,91.8,0,0,1,1,0,1,0,,,0,0
151302,194000.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)","I save a bit, as I can",,"$100,000-$250,000",Employed (full or part time),Own my home outright,4-6 months,"Less than $5,000",,,No / Not sure,,,No,,46.2,25.2,0,0,1,1,0,1,0,,,0,0
175531,,"Yes, in an Education Savings Account (ESA such as a 529 plan)",,,,Employed (full or part time),Own my home with a mortgage,,,,,"Yes, my own",,,Yes,,59.4,54.6,0,0,,1,0,1,,,,0,0
15405,103680.0,,I max out and save some extra outside my Employer Plan / IRA,,"$100,000-$250,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$50,000-$100,000",,,"Yes, through my work",,,No,,25.73,56.4,0,0,1,0,0,1,,,,0,0
88959,42400.0,"No, but I'd like to someday",I max out and save some extra outside my Employer Plan / IRA,,"$50,000-$100,000",Employed (full or part time),Own my home with a mortgage,2-3 months,"Less than $5,000",,VA or FHA Loan,"Yes, my own",30-year fixed rate,3.5% - 3.99%,No,,40.94,0.0,0,1,1,1,0,0,0,1,,,0
133175,59400.0,,I max out and save some extra outside my Employer Plan / IRA,,I haven't saved for retirement,Employed (full or part time),Live rent-free,More than 6 months,I don't have any savings,,,"Yes, my own",,,Yes,,37.84,63.0,0,0,0,0,0,0,0,,,0,0
152822,427.5,"Yes, but not in an ESA",I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"More than $100,000",,,"Yes, through my work",,,Yes,,49.3,68.4,0,0,1,1,1,1,0,,,1,0
69386,174000.0,,I max out and save some extra outside my Employer Plan / IRA,,"$20,000-$50,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$10,000-$20,000",,,"Yes, my own",,,Yes,,56.16,115.2,0,0,1,0,0,1,0,,,0,0
62696,32531.2,,I max out and save some extra outside my Employer Plan / IRA,,"Less than $10,000",Employed (full or part time),Own my home outright,More than 6 months,"$50,000-$100,000",,,"Yes, my own",,,Yes,,55.44,103.2,0,0,1,0,0,1,1,,,0,0
82294,226000.0,Not applicable,I max out and save some extra outside my Employer Plan / IRA,,"$20,000-$50,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"Less than $5,000",,,"Yes, my own",,,Yes,,45.54,76.5,0,0,1,1,0,1,0,,,0,0
106499,159000.0,,I max out and save some extra outside my Employer Plan / IRA,,"$10,000-$20,000",Own a business,Rent,2-3 months,"$10,000-$20,000",Within the next 6 months,,"Yes, my own",,,No,1444,66.0,104.4,0,0,1,0,0,1,0,,0,,0
103326,163760.0,,I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$50,000-$100,000",,,"Yes, my own",,,Yes,,58.31,117.6,0,0,1,0,0,1,0,,,0,0
142289,166005.0,,I max out and save some extra outside my Employer Plan / IRA,,"$50,000-$100,000",Own a business,Own my home outright,More than 6 months,"$20,000-$50,000",,,"Yes, through my work",,,No,,69.6,49.2,0,0,0,0,0,1,0,,,0,0
59760,111600.0,,I max out and save some extra outside my Employer Plan / IRA,,"$20,000-$50,000",Employed (full or part time),Own my home with a mortgage,4-6 months,"$10,000-$20,000",,,"Yes, my own",,,No,,27.0,70.8,0,0,1,0,0,1,0,,,0,0
73418,116280.0,,I max out and save some extra outside my Employer Plan / IRA,,"Less than $10,000",Employed (full or part time),Rent,2-3 months,"Less than $5,000",,,"Yes, through my work",,,No,,21.87,66.0,0,0,1,0,0,1,0,,,0,0
97010,95000.0,,I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"More than $100,000",,,"Yes, my own",,,Yes,,43.68,84.6,0,0,1,0,0,1,0,,,0,0
30992,26750.0,"Yes, but not in an ESA",I max out and save some extra outside my Employer Plan / IRA,,"$20,000-$50,000",Not working / Other,Rent,More than 6 months,"Less than $5,000",,,"Yes, my own",,,Not sure,,38.64,65.4,1,0,0,1,0,0,0,,,0,0
49662,250000.0,"Yes, but not in an ESA",I max out and save some extra outside my Employer Plan / IRA,,"$250,000-$500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$20,000-$50,000",,,"Yes, through my work",,,Yes,,37.2,144.0,0,1,1,1,0,1,0,,,0,0
138083,193050.0,,I max out and save some extra outside my Employer Plan / IRA,,"$100,000-$250,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$20,000-$50,000",,,"Yes, through my work",,,No,,44.8,67.8,0,0,1,0,0,1,0,,,0,0
4021,140700.0,,I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"More than $100,000",,,No / Not sure,,,Yes,,43.0,98.1,0,0,1,0,0,0,0,,,0,0
122461,134400.0,Not applicable,I max out and save some extra outside my Employer Plan / IRA,,"$100,000-$250,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$5,000-$10,000",,,"Yes, through my work",,,Yes,,49.0,49.8,0,0,1,1,0,1,0,0,,,0
148088,222610.0,,I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Rent,More than 6 months,"More than $100,000",,,"Yes, through my work",,,No,,38.8,104.4,0,0,1,0,0,0,0,,,0,0
29544,60000.0,,I max out and save some extra outside my Employer Plan / IRA,,"$20,000-$50,000",Employed (full or part time),Own my home with a mortgage,1 month or less,"Less than $5,000",,,"Yes, through my work",,,No,,56.68,57.0,0,0,1,0,0,0,0,,,0,0
43554,109200.0,,I max out and save some extra outside my Employer Plan / IRA,,"$100,000-$250,000",Employed (full or part time),Own my home with a mortgage,4-6 months,"$5,000-$10,000",,,"Yes, my own",,,Yes,,47.3,106.2,0,0,1,0,0,1,0,,,0,0
156251,194999.22,,I max out and save some extra outside my Employer Plan / IRA,,"$20,000-$50,000",Employed (full or part time),Rent,2-3 months,"$10,000-$20,000",Within the next 6 months,,"Yes, my own",,,Yes,1500,38.15,87.3,0,0,1,0,0,0,0,,0,,0
70937,35877.42,,I max out and save some extra outside my Employer Plan / IRA,,"$50,000-$100,000",Own a business,Rent,,"$5,000-$10,000",Within the next 6 months,,"Yes, my own",,,No,3333,33.66,81.0,0,0,,0,0,1,,,0,,0
151471,890000.0,,I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Own a business,Own my home outright,More than 6 months,"More than $100,000",,,"Yes, my own",,,Yes,,56.64,82.8,0,0,1,0,0,1,0,,,0,0
168482,530000.0,,I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$50,000-$100,000",,,"Yes, my own",,,Yes,,45.0,91.8,0,0,1,0,0,1,0,,,0,0
24007,44080.0,,I max out and save some extra outside my Employer Plan / IRA,,"$50,000-$100,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$10,000-$20,000",,,"Yes, my own",,,Yes,,52.8,0.0,0,0,1,0,0,0,1,,,0,0
58634,56000.0,,I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"More than $100,000",,Fixed rate mortgage,"Yes, my own",7/1 ARM,3.5% - 3.99%,No,,32.2,115.2,0,0,0,0,0,0,0,1,,,0
161135,143100.0,"No, I haven't really thought about it",I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Own my home outright,More than 6 months,"More than $100,000",,,"Yes, through my work",,,No,,47.04,61.2,0,0,1,1,0,1,0,,,0,0
77105,135600.0,,I max out and save some extra outside my Employer Plan / IRA,,"$10,000-$20,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$20,000-$50,000",,,"Yes, through my work",,,No,,42.92,52.2,0,0,1,0,0,1,0,,,0,0
120232,95000.0,,I max out and save some extra outside my Employer Plan / IRA,,"$100,000-$250,000",Employed (full or part time),Own my home with a mortgage,1 month or less,"Less than $5,000",,,"Yes, through my work",,,Yes,,62.64,0.0,0,1,1,0,0,1,0,,,1,0
298,115700.0,,I max out and save some extra outside my Employer Plan / IRA,,"$20,000-$50,000",Employed (full or part time),Rent,More than 6 months,"$20,000-$50,000",,,"Yes, through my work",,,No,,28.8,91.8,0,0,1,0,0,0,0,,,0,0
13933,172800.0,,I max out and save some extra outside my Employer Plan / IRA,,"$50,000-$100,000",Employed (full or part time),Live rent-free,More than 6 months,"$20,000-$50,000",,,"Yes, through my work",,,No,,32.32,32.4,0,0,1,0,0,1,0,,,0,1
76623,837000.0,"Yes, but not in an ESA",I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Own a business,Own my home with a mortgage,More than 6 months,"More than $100,000",,,"Yes, my own",,,Yes,,39.96,97.2,0,0,1,1,0,1,0,,,1,0
41172,49560.0,,I max out and save some extra outside my Employer Plan / IRA,,"$100,000-$250,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$20,000-$50,000",,,"Yes, through my work",,,No,,56.42,55.2,0,0,1,0,0,1,0,,,0,0
80275,348000.0,,I max out and save some extra outside my Employer Plan / IRA,,,Employed (full or part time),Own my home with a mortgage,,,,,"Yes, through my work",,,No,,39.55,136.8,0,0,,0,0,1,,,,0,0
173501,216000.0,,I max out and save some extra outside my Employer Plan / IRA,,"$100,000-$250,000",Employed (full or part time),Own my home outright,More than 6 months,"More than $100,000",,,"Yes, through my work",,,Yes,,53.58,92.7,0,0,1,0,0,1,0,,,1,0
92289,118000.0,,I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Own my home with a mortgage,4-6 months,"More than $100,000",,,"Yes, my own",,,Yes,,41.0,84.6,0,0,1,0,0,1,1,,,0,0
65047,64200.0,,I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Rent,More than 6 months,"More than $100,000",As soon as I can,,"Yes, through my work",,,No,5000,29.75,144.0,0,0,1,0,0,0,0,,1,,0
125195,32470.42,"Yes, but not in an ESA",I max out and save some extra outside my Employer Plan / IRA,,"$100,000-$250,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$20,000-$50,000",,Adjustable rate mortgage,"Yes, my own",5/1 ARM,Under 3.5%,No,,29.12,67.8,0,0,0,1,0,0,1,0,,,0
87354,44500.0,,I max out and save some extra outside my Employer Plan / IRA,,"$50,000-$100,000",Employed (full or part time),Own my home with a mortgage,,"$20,000-$50,000",,,"Yes, through my work",,,No,,34.96,60.6,0,0,,0,0,1,,0,,,0
95847,61500.0,,I max out and save some extra outside my Employer Plan / IRA,,"$250,000-$500,000",Employed (full or part time),Own my home with a mortgage,2-3 months,"Less than $5,000",,,"Yes, through my work",,,No,,59.85,56.4,0,0,1,0,0,0,1,,,0,0
41678,82000.0,,I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Rent,More than 6 months,"More than $100,000",Within the next 6 months,,"Yes, through my work",,,Yes,2000,67.2,69.6,0,0,1,0,0,0,0,,0,,0
177772,56500.0,"No, I haven't really thought about it",I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Rent,More than 6 months,"More than $100,000",Within the next 6 months,,No / Not sure,,,Not sure,3000,31.85,141.6,0,0,1,1,0,0,0,,0,,0
95009,60720.0,Not applicable,I max out and save some extra outside my Employer Plan / IRA,,"$20,000-$50,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$20,000-$50,000",,,"Yes, through my work",,,No,,74.75,73.8,0,0,1,1,0,0,0,0,,,1
119247,53500.0,,I max out and save some extra outside my Employer Plan / IRA,,"$20,000-$50,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$20,000-$50,000",,,"Yes, my own",,,Yes,,62.64,128.4,0,0,1,0,0,1,0,,,0,0
99240,42033.01,,I max out and save some extra outside my Employer Plan / IRA,,"$10,000-$20,000",Employed (full or part time),Own my home with a mortgage,1 month or less,"$5,000-$10,000",,Fixed rate mortgage,"Yes, my own",30-year fixed rate,Under 3.5%,No,,28.38,72.9,0,0,1,0,0,0,0,0,,,0
151073,142100.0,,I max out and save some extra outside my Employer Plan / IRA,,"$100,000-$250,000",Employed (full or part time),Own my home with a mortgage,4-6 months,"$20,000-$50,000",,,No / Not sure,,,No,,36.9,57.6,0,0,1,0,0,1,0,,,0,0
71216,246000.0,,I max out and save some extra outside my Employer Plan / IRA,,"$250,000-$500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$50,000-$100,000",,,"Yes, through my work",,,No,,36.3,111.6,0,0,1,0,0,1,0,,,0,0
59307,312000.0,,I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Own my home outright,More than 6 months,"More than $100,000",,,No / Not sure,,,Yes,,73.13,100.8,0,0,1,0,0,0,0,,,0,0
185013,172000.0,"Yes, but not in an ESA",I max out and save some extra outside my Employer Plan / IRA,,"$100,000-$250,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"More than $100,000",,,"Yes, through my work",,,Yes,,46.74,63.6,0,0,1,1,0,1,0,,,1,0
